Nazwa_dania;Produkty;Kalorie;Białko;Punkty;Tabu;Link
Krewetki z mango;[[Krewetki, 300], [Imbir, 2,0], [Czosnek, 2], [Olej, 30], [Mango, 1, 0]];784.75;76.52;-106.16;0;https://www.kwestiasmaku.com/przepis/krewetki-z-mango
Sałatka BLT;[[Boczek, 125], [Sałata, 200], [Pomidor,2, 0], [Cebula, 1, 0], [Oliwa, 15]];697.24;5.66;-87.4;0;https://www.kwestiasmaku.com/przepis/salatka-blt
Pieczone warzywa;[[Ziemniak, 200], [Papryka, 3, 0], [Cebula czerwona, 1, 0], [Czosnek, 4, 0], [Oliwa, 75], [Ser feta, 1, 0]];2550.6749999999997;85.2;-93.4;0;https://www.kwestiasmaku.com/przepis/zapiekanka-warzywna-z-serem-feta
Medaliony warzywne;[[Brokuł, 1, 0], [Por, 1, 0], [Oliwa, 15], [Jajka, 3, 0], [Śmietana30, 75], [Ser żółty, 4, 0]];1116.1399999999999;145.525;-121.18;0;https://www.kwestiasmaku.com/przepis/medaliony-warzywne
Zapiekanki z pieczarkami i serem;[[Bagietka, 1, 0], [Pieczarki, 400], [Cebula, 1, 0], [Masło, 30], [Ser żółty, 150]];705.6999999999999;54.57;-39.9;0;https://www.kwestiasmaku.com/przepis/zapiekanki
