Nazwa_dania;Produkty;Kalorie;Białko;Punkty;Tabu;Link
Pieczona owsianka brownie;[[Płatki owsiane, 100], [Mleko, 440], [Kakao, 30], [Cukier, 30], [Masło orzechowe,30 ], [Maliny, 200], [Syrop klonowy, 15]];0;0;0;0;https://www.kwestiasmaku.com/przepis/pieczona-owsianka-brownie
Szakszuka;[[Pomidor, 2, 0 ], [Masło, 7], [Czosnek, 2, 0], [Jajka, 2, 0]];0;0;0;0;https://www.kwestiasmaku.com/dania_dla_dwojga/sniadania/jajka_w_pomidorach/przepis.html
Owsianka z owocami;[[Płatki owsiane, 400], [Jogurt naturalny, 200], [Syrop klonowy, 30], [Maliny, 200]];0;0;0;0;https://www.kwestiasmaku.com/przepis/owsianka-z-owocami
Kanapki z awokdao;[[Jajka, 2, 0], [Chleb, 4, 0], [Awokado,1, 0], [Majonez, 2, 0]];0;0;0;0;https://www.kwestiasmaku.com/przepis/kanapki-z-awokado-jajkiem-i-rzezucha
Koktajl bananowy;[[Banan,1,0], [Płatki owsiane,75], [Masło orzechowe,15], [Cukier,30]];0;0;0;0;https://www.kwestiasmaku.com/przepis/koktajl-bananowy
